run_id,command_id,command_text,category,difficulty,gold_label,model,schema_valid,semantic_score,semantic_failure_mode,rejected,execution_eligible,failure_mode,latency_ms
20260507T173515Z_C21_foundry:qwen2.5-1.5b:cpu,C21,Pick that,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,False,1.0,correct_reject,True,False,schema_error,7597
20260507T173515Z_C22_foundry:qwen2.5-1.5b:cpu,C22,Move it there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,7602
20260507T173515Z_C23_foundry:qwen2.5-1.5b:cpu,C23,Sort this out,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,6424
20260507T173515Z_C24_foundry:qwen2.5-1.5b:cpu,C24,Get this ready,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,6935
20260507T173515Z_C25_foundry:qwen2.5-1.5b:cpu,C25,Put it over there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,6840
20260507T173515Z_C26_foundry:qwen2.5-1.5b:cpu,C26,Move somewhere safe,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,8876
20260507T173515Z_C27_foundry:qwen2.5-1.5b:cpu,C27,Choose the correct one,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,False,1.0,correct_reject,True,False,schema_error,7061
20260507T173515Z_C28_foundry:qwen2.5-1.5b:cpu,C28,Do it properly,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-1.5b:cpu,False,1.0,correct_reject,True,False,parse_error,25269
20260507T173515Z_C29_foundry:qwen2.5-1.5b:cpu,C29,Move over,motion,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,6741
20260507T173515Z_C30_foundry:qwen2.5-1.5b:cpu,C30,Place it in the safe area,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-1.5b:cpu,False,1.0,correct_reject,True,False,schema_error,7320
