run_id,command_id,command_text,category,difficulty,gold_label,model,schema_valid,semantic_score,semantic_failure_mode,rejected,execution_eligible,failure_mode,latency_ms
20260507T165435Z_C16_foundry:qwen2.5-0.5b:cpu,C16,Move the pill box a bit to the left zone,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3131
20260507T165435Z_C17_foundry:qwen2.5-0.5b:cpu,C17,Pick up the cup on the tray,object_manipulation,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-0.5b:cpu,True,0.0,semantic_mismatch,True,False,semantic_mismatch,2996
20260507T165435Z_C18_foundry:qwen2.5-0.5b:cpu,C18,Get this ready for handover,task_level,moderate,REJECT_UNSUPPORTED,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,3013
20260507T165435Z_C19_foundry:qwen2.5-0.5b:cpu,C19,Place the medicine cup in the safe area if available,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,3175
20260507T165435Z_C20_foundry:qwen2.5-0.5b:cpu,C20,Transfer the gauze pack to a nearby tray,object_manipulation,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,parse_error,10018
20260507T165435Z_C21_foundry:qwen2.5-0.5b:cpu,C21,Pick that,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3041
20260507T165435Z_C22_foundry:qwen2.5-0.5b:cpu,C22,Move it there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3004
20260507T165435Z_C23_foundry:qwen2.5-0.5b:cpu,C23,Sort this out,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2908
20260507T165435Z_C24_foundry:qwen2.5-0.5b:cpu,C24,Get this ready,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2966
20260507T165435Z_C25_foundry:qwen2.5-0.5b:cpu,C25,Put it over there,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,3071
20260507T165435Z_C26_foundry:qwen2.5-0.5b:cpu,C26,Move somewhere safe,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3010
20260507T165435Z_C27_foundry:qwen2.5-0.5b:cpu,C27,Choose the correct one,object_selection,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,4260
20260507T165435Z_C28_foundry:qwen2.5-0.5b:cpu,C28,Do it properly,task_level,high,REJECT_UNSUPPORTED,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,3602
20260507T165435Z_C29_foundry:qwen2.5-0.5b:cpu,C29,Move over,motion,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3037
20260507T165435Z_C30_foundry:qwen2.5-0.5b:cpu,C30,Place it in the safe area,zone_placement,high,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,2847
